Institution Name,Category,Name of Financial Institution,Instituition Type,Categorization,Old Name,Date of New Name,Street Address,Area,State,Telephone Number(s),Website,Email,Fax,PostalAddress,country,Ownership Type,Other Information,Date Licensed
Parallex Bank Ltd,Commercial Banks,,,,,,,,,,,,,,,,,
Polaris Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
Premium Trust Bank,Commercial Banks,,,,,,,,,,,,,,,,,
Providus Bank,Commercial Banks,Providus Bank,Commercial Bank,Regional,-,01/01/1900,"Plot 54, Ademola Adetokunbo",Victoria Island,LAGOS,-,-,-,-,-,NGN,-,-,"11 May, 2016"
Signature Bank Limited,Commercial Banks,Signature Bank Limited,Commercial Bank,Regional,-,01/01/1900,"Plot 31B, Gana Street, Maitama, FCT Abuja",Abuja,ABUJA,XXXXXXXXX,-,-,-,"Plot 31B, Gana Street, Maitama, FCT Abuja",NGN,Domestic,-,04/26/2024
Stanbic IBTC Bank Plc,Commercial Banks,,,,,,,,,,,,,,,,,
Standard Chartered Bank Nigeria Ltd.,Commercial Banks,Standard Chartered Bank Nigeria Ltd.,Commercial Bank,National,-,01/12/2004,"142 Ahmadu Bello Way, Victoria Island, Lagos.",Victoria Island,LAGOS,"234 01 3262000,2626801-5",www.ng.standardchartered.com,stanchart.info@ng.standardchartered.com,"234 01 2626814,3201659","105B, Ajose Adeogun Street, Victoria Island, Lagos",NGN,-,Standard Chartered Bank,"3rd January, 2006"
Sterling Bank Plc,Commercial Banks,Sterling Bank Plc,Commercial Bank,National,NAL Merchant Bank Ltd,25/01/1999,"Sterling Towers, 20 Marina, Lagos.","20 Marina, Lagos",LAGOS,234 1-2702300-1,www.sterlingbankng.com,webmaster@sterlingbankng.com,"(234) -1-2633294, 2635540","P.M.B. 12735, Sterling Towers, Lagos, Nigeria",NGN,-,"Magnum Trust Bank Ltd, NBM Bank Ltd, NAL Bank Plc,","3rd January, 2006"
SunTrust Bank Nigeria Limited,Commercial Banks,SunTrust Bank Nigeria Limited,Commercial Bank,Regional,SUNTRUST SAVINGS & LOANS LIMITED,16/09/2015,1 Oladele Olashore Street,Victoria Island,LAGOS,-,-,-,-,"1 Oladele Olashore Street, Victoria Island, Lagos",NGN,Domestic,-,"22nd September, 2015"
Tatum Bank Limited,Commercial Banks,Tatum Bank Limited,Commercial Bank,Regional,-,01/01/1900,"Plot 1088 Cadastral Zone A01 Area 3, Garki, Abuja",Garki,ABUJA,07000077770,-,-,-,-,NGN,Domestic,-,12/10/2024
Titan Trust Bank Ltd,Commercial Banks,Titan Trust Bank Ltd,Commercial Bank,National,-,01/01/1900,"Plot 1680 Sanusi Fafunwa Street, Victoria Island, Lagos",Victoria Island,LAGOS,23412265100,-,-,-,-,NGN,Domestic,-,"25th April, 2019"
Union Bank of Nigeria Plc,Commercial Banks,Union Bank of Nigeria Plc,Commercial Bank,International,Union Bank Plc,02/01/2006,"Stallion Plaza, 36 Marina, Lagos",Lagos,LAGOS,"(234) 01 2665439,2665441,2665445",-,-,(234) 01 2669873,"36, Marina, Lagos",NGN,-,"Union, Union Merchant, Universal Trust Banks","2006 (licensed November 12, 1969)"
United Bank For Africa Plc,Commercial Banks,United Bank For Africa Plc,Commercial Bank,International,-,02/01/2006,"57, Marina",Lagos,LAGOS,"(234) 01 2644651 - 700, 4701416, 2642284",www.ubagroup.com,-,(234) 01 2642236,"57, Marina, Lagos",NGN,-,"Standard Trust, UBA, CTB","3rd January, 2006 (previously licensed May 17, 1961)"
Unity Bank Plc,Commercial Banks,Unity Bank Plc,Commercial Bank,National,-,02/01/2006,"Plot 42, Ahmed Onibudo Street, Victoria Island, Lagos.","Central Business District,",ABUJA,(234) 09-4616700-9,www.unitybankng.com,-,(234) 01 2693256,P. O. Box 52463 Lagos State,NGN,Domestic,"New Africa, TCB, Centre-Point,BON,NNB,Intercity,Pa",3rd January 2006
Wema Bank Plc,Commercial Banks,Wema Bank Plc,Commercial Bank,National,Agbomagbe Bank Limited,18/01/1965,"Wema Towers 54, Marina Lagos Island",Lagos,LAGOS,"234 012669236,2669713",www.wemabank.com,info@wemabank.com,234 01 2669236,"54, Marina, P. M. B. 12862, Lagos",NGN,-,"Wema Bank Plc, National Bank Plc",3rd January 2006
Zenith Bank Plc,Commercial Banks,Zenith Bank Plc,Commercial Bank,International,Zenith International Bank Ltd,13/09/2004,"Plot 84, Ajose Adeogun Street, Victoria Island, La",Victoria Island,LAGOS,"(234) 1 4618301, 4618311, 4618321, 2620727",www.zenithbank.com,enquiry@zenithbank.com,(234) 1 2610249,"P.O. Box 75315 Plot 84, Ajose Adeogun Street, Vict",NGN,-,Zenith Bank Plc,"3rd January 2006 (previously licensed June 20, 1990)"
Bank of Agriculture (BOA),Development Finance Institutions,Bank of Agriculture (BOA),Development Finance,-,NIGERIA AGRICULTURAL COOPERATIVE AND RURAL DEVELOPMENT,11/06/2007,"Yakubu Gowan Way, PMB 21555, Kaduna",Kaduna,KAD,8023101946,-,-,-,"PMB 21555, Kaduna",NGN,-,-,6/11/2007
BANK OF INDUSTRY,Development Finance Institutions,BANK OF INDUSTRY,Development Finance,-,-,11/06/2007,"23, Marina, Lagos",-,LAG,01-2713439,-,-,-,"P.O.Box 2357, Lagos",NGN,-,-,6/11/2007
Development Bank of Nigeria PLC,Development Finance Institutions,Development Bank of Nigeria PLC,Development Finance,-,-,01/01/1900,"Plot 1386A Tigris Crescent, Maitama, FCT Abuja",Maitama,ABU,+234 9 904 0000,-,-,-,-,NGN,Foreign and Domestic,RC 1215724,3/29/2017
FEDERAL MORTGAGE BANK OF NIGERIA,Development Finance Institutions,FEDERAL MORTGAGE BANK OF NIGERIA,Development Finance,-,-,11/06/2007,"Plot 266, Cadastral Zone A0, Central Business Dist",Abuja,ABU,09-2344212; 2344124; 2341677,-,-,01-2344213,"PMB 2273, Abuja",NGN,-,-,6/11/2007
NIGERIA EXPORT IMPORT BANK,Development Finance Institutions,NIGERIA EXPORT IMPORT BANK,Development Finance,-,-,11/06/2007,"Plot 975, Cadastral Zone A0, Central Business Dist",-,ABU,09-5241630-9,www.neximbank.com.ng,neximabj@neximbank.com.ng,-,"PMB 276 Garki, Abuja",NGN,-,-,6/11/2007
The Infrastructure Bank,Development Finance Institutions,The Infrastructure Bank,Development Finance,-,URBAN DEVELOPMENT BANK OF NIGERIA PLC.,11/06/2007,"Plot 977, Central Business District, Abuja",Zone 6 Wuse,ABU,09-6721671,-,-,09-6721671,P. M. B. 272 Abuja FCT,NGN,-,-,6/11/2007
ASSOCIATED DISCOUNT HOUSE LTD.,Discount Houses,,,,,,,,,,,,,,,,,
CONSOLIDATED DISCOUNT LIMITED,Discount Houses,,,,,,,,,,,,,,,,,
EXPRESS DISCOUNT LIMITED,Discount Houses,,,,,,,,,,,,,,,,,
FIRST SECURITIES DISCOUNT HOUSE LTD,Discount Houses,,,,,,,,,,,,,,,,,
KAKAWA DISCOUNT HOUSE LTD,Discount Houses,,,,,,,,,,,,,,,,,
AAA FINANCE & INVESTMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ADDOSSER FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AIQ CAPITAL FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ALC FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
ALLIANZBRIDGE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AMS FINANCE & MANAGEMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
AQUILA LEASING LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ARKERS FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BANCORP FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BERKSHIRE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
BRANCH INTERNATIONAL FINANCIAL SERVICES LTD,Finance Companies,,,,,,,,,,,,,,,,,
C & I LEASING PLC,Finance Companies,,,,,,,,,,,,,,,,,
CANDOURCREST FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CAPITALFIELD FINANCIAL MANAGEMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CAPRI-MARTINS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CARBON FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CASH-LINK LEASING PLC,Finance Companies,,,,,,,,,,,,,,,,,
CELOX FINANCE & INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Centrum Finance Company Limited,Finance Companies,Centrum Finance Company Limited,Finance Company,National,ALC Finance Limited,18/05/2022,Centrum Finance Company Limited No 9B Lumumbashi Street Abacha Estate Wuse Zone 4 Abuja,Wuse Zone 4,ABUJA,+234 908 8888 198,centrumfinanceltd.com,info@centrumfinanceltd.com,+234 908 8888 198,Centrum Finance Company Limited No 9B Lumumbashi Street Abacha Estate Wuse Zone 4 Abuja,NGN,Domestic,-,03/12/2023
CEVIANT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CFS Financial Services Limited,Finance Companies,CFS Financial Services Limited,Finance Company,-,-,03/07/2007,"Eleganza Building, 15B Wesley/Joseph Street,",-,LAG,01-2600757,-,-,-,"Lagos Island,",NGN,Domestic,-,7/3/2007
CITIHOMES FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CO-LINK INVESTMENT MANAGEMENT COMPANY LIMITED,Finance Companies,CO-LINK INVESTMENT MANAGEMENT COMPANY LIMITED,Finance Company,-,-,03/07/2007,"NO,1 MOTOR WAYS AVENUE, ALAUSA, LAGOS",-,LAG,01-4932202,-,-,-,-,NGN,Domestic,-,7/3/2007
CONSUMER INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CORE CAPITAL LIMITED,Finance Companies,CORE CAPITAL LIMITED,Finance Company,-,-,03/07/2007,"YCMA BUILDING, 77 AWOLOWO ROAD IKOYI, LAGOS",-,LAG,-,-,-,-,"Ikoyi, Lagos",NGN,Domestic,-,7/3/2007
COUNTY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CREDIT DIRECT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CREDITE CAPITAL FINANCE & INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CROWNWISE FINANCE & INVESTMENTS PLC,Finance Companies,,,,,,,,,,,,,,,,,
CRYSTAL FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
CS ADVANCE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
DE-REAL PEOPLE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
DIGNITY FINANCE LIMITED,Finance Companies,DIGNITY FINANCE LIMITED,Finance Company,-,INTER TRUST LIMITED,23/07/2009,"YOMA PLACE, NO 5 O.P. FINGESI STREET, UTAKO DISTRICT, ABUJA, FCT",Utako District,ABU,09-2905750; 08130030836,-,-,-,-,NGN,Domestic,-,3/13/2009
DOMINION FINANCE LIMITED,Finance Companies,DOMINION FINANCE LIMITED,Finance Company,-,-,03/07/2007,"207 IGBOSERE ROAD, LAGOS ISLAND, LAGOS",Lagos Island,LAG,-,-,-,-,"47/57 Martins Street , Lagos",NGN,-,-,7/3/2007
DYNAMIC FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
E-FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ENCO FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
EVERDEN FINANCIAL SERVICES LTD,Finance Companies,,,,,,,,,,,,,,,,,
EVIB FINANCE COMPANY LIMITED,Finance Companies,EVIB FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"3 Shalom Drivem Patrick Harbour Estate Off Mojisola Onikoyi Estate, Ikoyi Lagos",Ikoyi,LAGOS,08053333585,-,-,-,-,NGN,Domestic,-,08/21/2024
FACTORING & SUPPLY CHAIN FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FAST CREDIT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FEWCHORE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FIDUCIA FINANCE COMPANY LIMITED,Finance Companies,FIDUCIA FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"The Rock Tower, The Rock Drive, Lekki Phase 1, Lagos State",Lekki,LAGOS,08033030836,-,-,-,-,NGN,Domestic,-,07/04/2024
FINANCE AND COMMERCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FINANCIAL DERIVATIVES CO. LTD,Finance Companies,FINANCIAL DERIVATIVES CO. LTD,Finance Company,-,-,03/07/2007,"11A, Goriola Street;",-,LAG,01-2618279; 2622557; 2617429,-,-,-,"P.O. Box 72120, Victoria Island",NGN,Domestic,-,7/3/2007
FIRST CORNERSTONE FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FIRST MARINA TRUST LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FLOBAL FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FUNDIT FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FUNDQUEST FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
FUNDSWORTH LIMITED,Finance Companies,FUNDSWORTH LIMITED,Finance Company,-,-,03/07/2007,"6, Louis Solomon Close;",-,LAG,01-4803077; 610782; 2611306,-,-,-,"P.O. Box 74424, Victoria Island",NGN,Domestic,-,7/3/2007
GADOL FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
GDL FINANCE AND LEASING COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
GOODGATE FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
GRAND TREASURERS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
GREENBOND FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
GRIFFIN FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Harmony Breakthrough Finance Company Limited,Finance Companies,Harmony Breakthrough Finance Company Limited,Finance Company,None,-,01/01/1900,"1st Floor Old Kingsway Building Radio Nigeria, Dugbe Ibadan, Oyo State",Ibadan,OYO,+2348022908650,-,-,-,-,NGN,Domestic,-,04/18/2024
HIDDEKEL CAPITAL LTD,Finance Companies,,,,,,,,,,,,,,,,,
INITIATIVE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
LECON FINANCIAL SERVICES COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
LIGHT HOUSE INVESTMENTS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
LUKEFIELD FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
MERISTEM FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
MEZCREDIT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
MIM FINANCE COMPANY LTD,Finance Companies,,,,,,,,,,,,,,,,,
NEWEDGE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
NICHOLE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
NOBLESERVE CAPITAL MANAGEMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
NOLT FINANCE COMPANY LIMITED,Finance Companies,NOLT FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"Suite 4, First Floor, 11 Awolowo Road, Ikoyi, Lagos State",Ikoyi,LAGOS,081492205557,-,-,-,-,NGN,Domestic,-,06/15/2022
NORTHQUEST FINANCE COMPANY LIMITED,Finance Companies,NORTHQUEST FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"8B Oluwakayode Jacobs Crescent, Lekki Phase 1, Lagos State",Lekki,LAGOS,07070071777 09070071555,-,-,-,-,NGN,Domestic,-,08/13/2024
O3 CAPITAL LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
OKAZI FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
One-Stop Finance Company,Finance Companies,One-Stop Finance Company,Finance Company,None,-,01/01/1900,"No 96 Ogui Road, Enugu, Enugu State",Enugu,ENUGU,+2348036617454,-,-,-,-,NGN,Domestic,-,07/10/2024
OPTICOM LEASING COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ORANGE ONE FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
OXYGEN X FINANCE COMPANY LIMITED,Finance Companies,OXYGEN X FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"4th Floor Plot 1665, Oyin Jolayemi Street, Victoria Island Lagos",Victoria Island,LAGOS,08170002422,-,-,-,-,NGN,Domestic,-,06/19/2024
PAGE INTERNATIONAL FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PARADIGM FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PERENNIAL FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PFI FINANCIAL LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PILOT FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
PREFERRED FINANCE COMPANY LIMITED,Finance Companies,PREFERRED FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"3rd Floor, Infinity House, Kaura Namoda Street, off Faskari Crescent Area3, Garki, Abuja FCT",Garki,ABUJA,08060874485,-,-,-,-,NGN,Domestic,-,12/16/2024
PROSPERIS FINNANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
QUIDPRO FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
QUITS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
REDOAK TRUST AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
RESOLUTION FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROSABON FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROYAL CREST FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ROYAL EXCHANGE FINANCE AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SAGE GREY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SFS CREDITS LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SIMPLE FINANCE LIMTED,Finance Companies,,,,,,,,,,,,,,,,,
SKYSTONE CAPITAL AND INVESTMENT LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SNOW FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
SPRING SKY FINANCE COMPANY LIMITED,Finance Companies,SPRING SKY FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"Plot 6, Block 101, Furo Ezimaora Road, Lekki Phase 1, Lagos State",Lekki,LAGOS,07070071777 09070071555,-,-,-,-,NGN,Domestic,-,08/13/2024
STILL EARTH CAPITAL FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
STIRLING TRUST COMPANY LIMITED,Finance Companies,STIRLING TRUST COMPANY LIMITED,Finance Company,-,-,03/07/2007,"Plot PC 10, Engineering Close,",-,LAG,01-2613246,-,-,-,Victoria Island,NGN,Domestic,-,7/3/2007
SUPRA FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TEKLA FACTROING AND FINANCE,Finance Companies,,,,,,,,,,,,,,,,,
THE BROOK FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
THOMAS GILTS FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TRANSKREDIT FINANCE COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TRINITY FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
TROPICS FINANCE AND INVESTMENT COMPANY LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
UNIVERSAL INVEST & DEV. CO. LTD,Finance Companies,,,,,,,,,,,,,,,,,
UT FINANCIAL SERVICES NIGERIA LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
VALE FINANCE LTD,Finance Companies,,,,,,,,,,,,,,,,,
VIVA FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
WESTWOOD FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
Whitecrust Finance Company Limited,Finance Companies,Whitecrust Finance Company Limited,Finance Company,None,-,01/01/1900,"402, Ikorodu Road, By Ojota Bus Stop, Lagos State",Lagos,LAGOS,+2347026198185,-,-,-,-,NGN,Domestic,-,08/29/2024
WOODHALL FINANCE COMPANY LIMITED,Finance Companies,WOODHALL FINANCE COMPANY LIMITED,Finance Company,None,-,01/01/1900,"22B, Gerrard Road, Ikoyi, Lagos State",Ikoyi,LAGOS,+234414549820,-,-,-,-,NGN,Domestic,-,08/29/2024
WSTC FINANCIAL SERVICES LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ZEDVANCE FINANCE LIMITED,Finance Companies,,,,,,,,,,,,,,,,,
ACCESS HOLDINGS PLC,Holding Companies,,,,,,,,,,,,,,,,,
FBN HOLDINGS PLC,Holding Companies,,,,,,,,,,,,,,,,,
FCMB GROUP PLC,Holding Companies,,,,,,,,,,,,,,,,,
FSDH HOLDING COMPANY,Holding Companies,,,,,,,,,,,,,,,,,
GTB HOLD CO,Holding Companies,,,,,,,,,,,,,,,,,
STANBIC IBTC HOLDINGS PLC,Holding Companies,,,,,,,,,,,,,,,,,
STERLING FINANCIAL HOLDINGS LIMITED,Holding Companies,STERLING FINANCIAL HOLDINGS LIMITED,Holding Company,None,-,01/01/1900,"NO 22 Marina, Lagos",Lagos,LAGOS,xxxxxxxxx,-,-,-,"NO 22 Marina, Lagos",NGN,Domestic,-,04/26/2024
CORONATION MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
FBNQUEST MERCHANT BANK,Merchant Banks,FBNQUEST MERCHANT BANK,Merchant Bank,International,-,02/01/2006,2 Kofo Abayomi Street,Victoria Island,LAGOS,234 01 2610408-12,-,-,234 01 2610414,"2, Kofo Abayomi Street",NGN,-,"Fidelity Bank, FSB, Manny Bank",3rd January 2006
FSDH MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
GREENWICH MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
RAND MERCHANT BANK,Merchant Banks,,,,,,,,,,,,,,,,,
AACB Microfinance Bank Limited,Micro-finance Banks,AACB Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Adazi-Ani CB,18/01/2008,"Adazi-Ani Town Hall, Adazi Ani,",Anambra,ANA,8034744134,-,-,-,"NNEWI / AGULU ROAD, ADAZI ANI , ANAMBRA STATE",NGN,Domestic,-,1/18/2008
AB Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abia SME Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abia State University Microfinance Bank Limited,Micro-finance Banks,Abia State University Microfinance Bank Limited,MicroFinance Bank,STATE MFB,Abia State Univ. Community Bank Limited,01/02/2008,"Uturu, Isuikwuato LGA, Abia State",Abia,ABI,-,-,-,-,"P.M.B. 2000, Uturu, Isuikwuato LGA, Abia State",NGN,Domestic,Provisional approval to convert to microfinance bank,2/1/2008
Abigi Microfinance Bank Limited,Micro-finance Banks,Abigi Microfinance Bank Limited,MicroFinance Bank,TIER 2 UNIT,Abigi Community Bank Limited,01/02/2008,"28, Moborode Odofin Street,",Ogun,OGU,-,-,-,-,"28, Moborode Odofin St., Abigi, Ijebu Waterside, Ogun State",NGN,Domestic,-,2/1/2008
Above Only Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abubakar Tafawa Balewa University (ATBU) Microfinance Bank,Micro-finance Banks,,,,,,,,,,,,,,,,,
Abucoop Microfinance Bank Limited,Micro-finance Banks,,,,,,,,,,,,,,,,,
